Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,State,Country,Date first added,CIK,Founded,2019_july_1,2019_october_1,2020_january_2,2020_april_1,2020_june_30
EXR,Extra Space Storage,reports,Real Estate,Specialized REITs,Salt Lake City,Utah,United States of America,2016-01-19,0001289490,,102.93,113.31,103.89,91.67,91.83
XOM,Exxon Mobil Corp.,reports,Energy,Integrated Oil & Gas,Irving,Texas,United States of America,,0000034088,1999,72.8,67.68,67.93,36.16,44.32
FFIV,F5 Networks,reports,Information Technology,Communications Equipment,Seattle,Washington,United States of America,2010-12-20,0001048695,1996,147.88,140.7,140.42,103.78,137.41
FB,"Facebook, Inc.",reports,Communication Services,Interactive Media & Services,Menlo Park,California,United States of America,2013-12-23,0001326801,,195.21,179.15,206.75,161.62,220.64
FAST,Fastenal Co,reports,Industrials,Building Products,Winona,Minnesota,United States of America,2008-09-15,0000815556,1967,32.05,32.35,36.57,29.96,41.92
FRT,Federal Realty Investment Trust,reports,Real Estate,Retail REITs,Rockville,Maryland,United States of America,2016-02-01,0000034903,,124.69,132.02,126.69,69.89,84.76
FDX,FedEx Corporation,reports,Industrials,Air Freight & Logistics,Memphis,Tennessee,United States of America,1980-12-31,0001048911,,165.02,143.56,150.93,115.46,134.55
FIS,Fidelity National Information Services,reports,Information Technology,Data Processing & Outsourced Services,Jacksonville,Florida,United States of America,2006-11-10,0001136893,,122.37,132.21,139.16,115.99,131.17
FITB,Fifth Third Bancorp,reports,Financials,Regional Banks,Cincinnati,Ohio,United States of America,,0000035527,1858,26.9,26.49,30.02,13.8,18.74
FE,FirstEnergy Corp,reports,Utilities,Electric Utilities,Akron,Ohio,United States of America,,0001031296,1997,41.46,46.81,47.74,37.97,37.99
FRC,First Republic Bank,reports,Financials,Regional Banks,San Francisco,California,United States of America,2019-01-02,0001132979,1985,98.2,96.63,117.47,79.93,105.21
FISV,Fiserv Inc,reports,Information Technology,Data Processing & Outsourced Services,Brookfield,Wisconsin,United States of America,2001-04-02,0000798354,,92.3,103.93,116.0,91.0,97.01
FLT,FleetCor Technologies Inc,reports,Information Technology,Data Processing & Outsourced Services,Norcross,Georgia,United States of America,2018-06-20,0001175454,2000,283.77,288.06,289.88,178.33,246.15
FLIR,FLIR Systems,reports,Information Technology,Electronic Equipment & Instruments,Wilsonville,Oregon,United States of America,2009-01-02,0000354908,,54.08,52.53,51.94,30.44,40.05
FLS,Flowserve Corporation,reports,Industrials,Industrial Machinery,Irving,Texas,United States of America,2008-10-02,0000030625,,52.26,46.17,49.42,22.45,28.23
FMC,FMC Corporation,reports,Materials,Fertilizers & Agricultural Chemicals,Philadelphia,Pennsylvania,United States of America,2009-08-19,0000037785,,82.53,86.69,99.34,77.67,97.31
F,Ford Motor Company,reports,Consumer Discretionary,Automobile Manufacturers,Dearborn,Michigan,United States of America,,0000037996,1903,9.86,8.89,9.13,4.63,6.01
FTNT,Fortinet,reports,Information Technology,Systems Software,Sunnyvale,California,United States of America,2018-10-11,0001262039,2000,78.11,77.58,107.6,96.94,133.47
FTV,Fortive Corp,reports,Industrials,Industrial Machinery,Everett,Washington,United States of America,2016-07-01,0001659166,2016,82.21,68.75,76.84,53.38,67.92
FBHS,Fortune Brands Home & Security,reports,Industrials,Building Products,Deerfield,Illinois,United States of America,2016-06-22,0001519751,,56.87,54.5,65.01,40.9,62.88
